Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Wolf Ridge,In Service,112.5,Cooke County TX,NextEra Energy Resources,NextEra Energy Resources,,GE Energy,75,2008,2,8 - 8.5,8 - 8.5,
Wolf Wind Farm,In Service,6.25,Nobles County MN,Ryan Wolf et al/John Deere Wind Energy,Ryan Wolf et al/John Deere Wind Energy,Central Minnesota Municipal Power Agency,Suzlon Energy Company,5,2006,4,8 - 8.5,8.5 - 9,
Wolverine,In Service,1.5,Greenfield IA,Wolverine LLC,,Farmers' Cooperative of Greenfield,GE Energy,1,2010,4,8 - 8.5,8 - 8.5,
Wolverine Creek Wind Energy Project,In Service,64.5,East of ID Falls ID,Invenergy,Invenergy,PacifiCorp,GE Energy,43,2005,3,6.5 - 7,6.5 - 7,
Woods Hole Research Center Wind Turbine,In Service,0.1,Falmouth MA,Woods Hole Research Center,Sustainable Energy Developments,Woods Hole Research Center,Northern Power Systems,1,2009,4,7 - 7.5,7.5 - 8,
Woodstock Hills,In Service,10.2,Pipestone County MN,Juhl Wind and Edison Mission Group (owns majority),Woodstock Windfarms,Xcel Energy,Vestas,17,1999,4,8 - 8.5,8.5 - 9,
Woodstock Municipal Wind,In Service,0.75,Woodstock MN,,Juhl Wind,Xcel Energy,EWT Americas,1,2009,4,8 - 8.5,8.5 - 9,
Woodward Mountain Wind Ranch I and II,In Service,159.72,Pecos County TX,NextEra Energy Resources,Cielo Wind Power/Renewable Energy Systems,TXU Electric & Gas,Vestas,242,2001,4,7.5 - 8,8 - 8.5,
Wray School District,In Service,0.9,Wray CO,Wray School District,Wray School District,Wray School District,AWE,1,2008,3,7 - 7.5,7.5 - 8,
Wyoming Wind Energy Center,In Service,144,Evanston WY,NextEra Energy Resources,Orion Energy,PPM Energy Inc,Vestas,80,2003,4,7.5 - 8,8 - 8.5,
Yarbrough Public School System,In Service,0.5,Goodwell OK,Yarbrough Public School,,N/A,Entegrity Wind,1,2008,4,8 - 8.5,8.5 - 9,
Zachary Ridge/LJ Wind Farm,In Service,3.6,Osceola County near Sibley IA,Northern Alternative Energy,Northern Alternative Energy,Alliant/IES Utilities,Gamesa,2,2003,4,8 - 8.5,8.5 - 9,
Zirbel Wind Farm (Glenmore Wind Energy Facility),In Service,1.2,De Pere WI,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Tacke,2,1998,3,7 - 7.5,7 - 7.5,
Zond Windsystem Partners Series 85C,In Service,18,Altamont Pass CA,,Zond Systems,Pacific Gas & Electric Co,Vestas,200,1985,4,6.5 - 7,6.5 - 7,
Zond-PanAero Windsystems,In Service,29.9,San Gorgonio CA,,Zond Systems,Southern California Edison Co,Vestas,460,0,4,8 - 8.5,8 - 8.5,
Zotos,In Service,3.3,Geneva NY,Zotos Manufacturing,Zotos Manufacturing,Zotos Manufacturing,Hyundai,2,2011,2,5.5 - 6,6 - 6.5,
Apex Offshore Phase 1,Proposed,600,Atlantic Ocean NC,Apex Wind Energy,Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited,,,165,0,5,,,8.25 - 8.5
Apex Offshore Phase 2,Proposed,1300,Atlantic Ocean NC,Apex Wind Energy,Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited,,,360,0,6,,,8.25 - 8.5
Block Island Wind Farm,Proposed,20,Offshore from Block Island RI,,Deepwater Wind,,Undetermined,8,0,6,,,9 - 9.25
Bluewater Wind New Jersey,Proposed,348,Offshore from Atlantic Beach NJ,,NRG Bluewater Wind,,Undetermined,116,0,6,,,8.25 - 8.5
Bluewater Wind Rhode Island,Proposed,450,Atlantic Ocean RI,NRG Bluewater Wind,NRG Bluewater Wind,,,0,0,6,,,8.75 - 9
Brazoria Offshore,Proposed,500,Gulf of Mexico TX,Coastal Point Energy LLC,Coastal Point Energy LLC,,,0,0,3,,,7.5 - 7.75
Brigantine OffshoreMW Phase 1,Proposed,350,Atlantic Ocean NJ,OffshoreMW,Offshore MW,,,0,0,6,,,8.75 - 9
Brigantine OffshoreMW Phase 2,Proposed,350,Atlantic Ocean NJ,OffshoreMW,OffshoreMW,,,0,0,6,,,8.5 - 8.75
Cape Wind,Proposed,468,Nantucket Sound MA,Cape Wind,Cape Wind Associates,National Grid,Siemens,130,0,6,,,8.5 - 8.75
Chesapeake Bay Test Site,Proposed,5,Atlantic Ocean VA,Gamesa and Newport News Energy,Gamesa and Newport News Energy,,Gamesa,1,0,4,,,7.75 - 8
Deepwater Wind Farm,Proposed,345.6,Atlantic Ocean NJ,PSEG Renewable Generation / Deepwater Wind LLC,Garden State Offshore Energy,,,96,0,6,,,8.25 - 8.5
FERN Blue Ribbon Wind Farm I,Proposed,25,Offshore from Atlantic City NJ,,Fishermen's Energy,,XEMC-Darwind,6,0,4,,,8 - 8.25
FERN Blue Ribbon Wind Farm II*,Proposed,330,Offshore from Atlantic City NJ,,Fishermen's Energy,,Undetermined,66,0,5,,,8.25 - 8.5
First State Marine Wind,Proposed,5,Atlantic Ocean DE,Gamesa / Blue Hen Wind Inc,First State Marine Wind LLC,,Gamesa,1,0,4,,,8 - 8.25
Galveston Offshore Wind Farm,Proposed,150,Offshore from Galveston TX,Wind Energy Systems Technology,Wind Energy Systems Technology,,XEMC,50,0,3,,,7.5 - 7.75
Galveston Offshore Wind Phase 2,Proposed,150,Gulf of Mexico TX,Coastal Point Energy LLC,Coastal Point Energy LLC,,XEMC,75,0,3,,,7.5 - 7.75
Galveston Test,Proposed,3,Gulf of Mexico TX,Coastal Point Energy LLC,Galveston Offshore Wind LLC,,Mingyang,1,0,3,,,7.5 - 7.75
Garden State Offshore Wind Farm,Proposed,350,Offshore from Avalon NJ,,Garden State Offshore Energy,,Undetermined,96,0,6,,,8.25 - 8.5
Grays Harbor Demonstration Project,Proposed,10,Pacific Ocean,Grays Harbor Ocean Energy Company LLC,Grays Harbor Ocean Energy Company LLC,,,1,0,5,,,7.75 - 8
Hudson Canyon,Proposed,1000,Atlantic Ocean NY,Deepwater Wind Long Island,Deepwater Wind,,,200,0,5,,,8.75 - 9
Hywind 2 Demonstration,Proposed,12,Atlantic Ocean ME,Statoil North America,Statoil North America,,,4,0,6,,,9.25 - 9.5
IBEW Local 103,In Service,0.1,Dorchester MA,IBEW Local 103,IBEW Local 103,IBEW Local 103,Fuhrlander,1,2005,2,,,6.75 - 7
Jefferson Offshore,Proposed,300,Gulf of Mexico TX,Coastal Point Energy LLC,Coastal Point Energy LLC,,,0,0,3,,,7.5 - 7.75
Long Island New York City Offshore Wind Farm,Proposed,700,Offshore from the Rockaway Peninsula NY,Long Island-New York City Offshore Wind Collaborative,Long Island Power Authority (LIPA) / ConEdison (now part of LINYCOffshore Wind C,New York Power Authority,Undetermined,0,0,4,,,8.5 - 8.75
Mid-Atlantic Wind Park,Proposed,450,Offshore from Rehoboth Beach DE,,NRG Bluewater Wind,,Vestas (Anticipated),150,0,5,,,8 - 8.25
Monhegan Island,Proposed,0.22,Atlantic Ocean ME,Maine State Dept of Conservation,DeepCWind Consortium,,,1,0,6,,,9.25 - 9.5
Mustang Island Offshore Wind Farm,Proposed,1200,Offshore from Mustang Island TX,Baryonyx Corporation,Baryonyx Corporation,,,200,0,4,,,8.5 - 8.75
Newport Nearshore Windpark,Proposed,381.6,Delaware Bay offshore from Cumberland County NJ,Delsea Energy,Delsea Energy,,Siemens,106,0,4,,,7.75 - 8
Palmetto Wind Research Project,Proposed,80,Atlantic Ocean SC,Santee Cooper,South Carolina Energy Office / Santee Cooper / Coastal Carolina University,,,0,0,4,,,8 - 8.25
Rhode Island Offshore Wind Farm,Proposed,384,Offshore from Sakonnet RI,,Deepwater Wind,,Undetermined,130,0,6,,,9 - 9.25
Rio Grande North,Proposed,1000,Offshore from South Padre Island TX,Baryonyx Corporation,Baryonyx Corporation,,,160,0,4,,,8.5 - 8.75
Rio Grande South,Proposed,1000,Gulf of Mexico TX,Baryonyx Corporation,Baryonyx Corporation,,,160,0,4,,,8.5 - 8.75
Surf City,Proposed,1100,Atlantic Ocean NJ,Pavilion Energy Resources / Zero Carbon Wind Energy Corp,Pavilion Energy Resources / Zero Carbon Wind Energy Corp,,Sterling,55,0,6,,,8.75 - 9
Texas Offshore Pilot Research Project,Proposed,25,Gulf of Mexico TX,Baryonyx Corporation,Baryonyx Corporation,,,5,0,4,,,8.5 - 8.75
Tillamook Offshore Wind Farm,Proposed,150,Offshore from Tillamook OR,Principle Power,Principle Power,,Undetermined,30,0,6,,,8.25 - 8.5
Tillamook Windfloat Phase 1,Proposed,5,Pacific Ocean OR,Principle Power,Principle Power,,,1,0,6,,,8.25 - 8.5
Titan Platform,Proposed,7,Gulf of Mexico TX,,Offshore Wind Power Systems of Texas,,,1,0,4,,,8 - 8.25
Vermilion Bay,Proposed,36,Gulf of Mexico LA,Coastal Point Energy LLC,Coastal Point Energy LLC,,XEMC,18,0,3,,,7 - 7.25
Aegir II,Proposed,500,Lake Michigan MI,,,,,100,0,5,8.5 - 9,8.5 - 9,8.5 - 8.75
Charlestown Wind Turbine,In Service,1.5,Boston MA,MWRA,MWRA,Distributed generation - net metered,GE Energy,1,2011,2,5.5 - 6,5.5 - 6,6 - 6.25
Cleveland Bay Wind Farm,Proposed,20,Cleveland Bay OH,,Lake Erie Energy Development Corporation / Great Lakes Ohio Wind / Great Lakes Energy Wind LLC / Freshwater Wind LLC / Cavallo Great Lakes Ohio Wind LLC,,GE Energy,5,0,4,7.5 - 8,8 - 8.5,7.75 - 8
Cleveland Project Phase 2,Proposed,1000,Lake Erie OH,,Lake Erie Energy Development Corporation,,,0,0,5,8 - 8.5,8 - 8.5,8 - 8.25
Jersey Atlantic Wind Farm,In Service,7.5,Atlantic City NJ,Babcock & Brown owns majority,Jersey American Wind- LLC,Atlantic County Utilities Authority,GE Energy,5,2005,3,6.5 - 7,6.5 - 7,6.75 - 7
Lake Erie Alternative Power,Proposed,5040,Lake Erie PA,,Lake Erie Alternative Power LLC,,Siemens,1400,0,5,8 - 8.5,8.5 - 9,8.25 - 8.5
Radial Wind Farm,Proposed,1950,Lake Michigan WI,Radial Wind,Radial Wind,,,390,0,5,8 - 8.5,8.5 - 9,8.25 - 8.5
